mutantID	insertionName	cultivar	originatingLab	comments
1	T91301089	T322	Bhattacharyya Lab, Iowa State Univ.	
2	T91200417	T322	Bhattacharyya Lab, Iowa State Univ.	
3	T91301132	T322	Bhattacharyya Lab, Iowa State Univ.	
